stride_interval,stride_variability,swing_time,stance_time,double_support_time,gait_speed,cadence,step_length,stride_regularity,gait_asymmetry,status
1.208,0.1372,0.2942,0.32,0.313,3.5759,97.4925,2.1992,0.8919,0.0105,1
1.0366,0.1584,0.3377,0.1925,0.1878,4.4494,113.2535,2.3545,0.8806,0.022,1
0.9029,0.0693,0.2136,0.2348,0.2323,5.6489,133.727,2.535,0.816,-0.0001,1
1.0735,0.0587,0.3405,0.1992,0.1968,4.329,111.2903,2.3356,0.8615,0.0046,0
1.0297,0.0902,0.2948,0.2284,0.2236,4.5363,114.8696,2.3676,0.9256,0.017,1
1.17,0.0536,0.3482,0.2339,0.2283,3.8622,103.1022,2.2515,0.8034,0.0001,0
1.1003,0.1857,0.2778,0.2933,0.2774,3.9751,104.7966,2.2716,0.7874,0.0388,1
1.1767,0.1348,0.2875,0.3065,0.2973,3.7585,101.0566,2.2332,0.884,0.0098,1
1.017,0.1639,0.2717,0.24,0.2259,4.6785,117.3239,2.3895,0.8131,0.0039,1
1.0257,0.2048,0.3688,0.1625,0.158,4.4162,113.0462,2.3483,0.669,0.0254,1
1.1525,0.2301,0.3666,0.2124,0.1957,3.8967,103.3982,2.2567,0.8491,0.0046,1
1.0459,0.1952,0.3791,0.1417,0.1391,4.5612,115.3841,2.3736,0.6949,0.0044,1
0.9934,0.2093,0.3754,0.1309,0.1276,4.7356,118.2983,2.3972,0.6981,0.0127,1
0.9778,0.1653,0.2883,0.2042,0.1993,4.9481,122.3214,2.4338,0.8853,0.0039,1
1.0451,0.1631,0.3317,0.199,0.1971,4.4155,112.8737,2.3511,0.789,0.018,0
0.987,0.4509,0.362,0.1708,0.167,4.3851,112.4924,2.3429,0.796,0.0757,1
1.0192,0.1789,0.2661,0.2452,0.2399,4.6653,117.3584,2.3921,0.8616,0.0042,1
1.0553,0.1031,0.3008,0.2329,0.2316,4.3936,112.5812,2.3443,0.8986,0.013,1
0.9844,0.0642,0.3084,0.1851,0.1792,4.9274,121.8742,2.4299,0.8921,-0.0,1
0.9769,0.1615,0.2868,0.2044,0.1985,4.9623,122.1799,2.4333,0.8848,0.004,1
1.2355,0.1391,0.3523,0.2751,0.2693,3.4739,95.7229,2.1788,0.7787,0.0051,1
1.0421,0.234,0.2438,0.2991,0.2869,4.2961,110.6443,2.3243,0.898,0.0313,1
1.036,0.0592,0.3425,0.1745,0.1718,4.5873,115.7157,2.3757,0.8394,-0.0,1
1.6714,0.224,0.3676,0.48,0.46,2.2591,71.1682,1.9025,0.8638,0.0072,1
1.0872,0.1311,0.3614,0.1927,0.1537,4.1672,108.2496,2.3063,0.8501,0.0139,1
1.0283,0.0924,0.2952,0.2278,0.2237,4.532,114.861,2.3663,0.9253,0.0174,1
0.9674,0.2212,0.365,0.1285,0.1278,4.9062,121.3583,2.4237,0.853,0.0207,1
0.9945,0.1589,0.3344,0.175,0.1681,4.7019,117.7994,2.3948,0.8347,0.0163,1
1.0196,0.185,0.2657,0.2442,0.241,4.6857,117.1409,2.3912,0.8612,0.0042,1
0.9258,0.0839,0.2912,0.1743,0.1707,5.3836,129.2745,2.4983,0.8886,0.004,1
1.0775,0.1217,0.38,0.1559,0.1511,4.3614,112.0397,2.3404,0.7196,0.0091,0
0.9552,0.12,0.2556,0.2243,0.2124,5.1133,124.6737,2.4556,0.789,-0.0003,1
1.0751,0.1305,0.2808,0.2471,0.2371,4.4474,113.4284,2.3555,0.8319,0.0131,1
1.0671,0.1457,0.3204,0.2169,0.2152,4.3588,111.9941,2.3408,0.8717,0.009,0
0.9864,0.4575,0.3624,0.1716,0.1662,4.3835,112.3696,2.346,0.7944,0.0753,1
1.0183,0.2921,0.3462,0.1863,0.152,4.4245,112.9512,2.3518,0.8894,0.0348,1
1.1178,0.0903,0.2828,0.283,0.2807,4.02,105.8481,2.2833,0.8103,0.0095,1
0.8982,0.0556,0.2138,0.2347,0.2322,5.6512,133.692,2.5354,0.8141,0.0002,1
1.4865,1.0146,0.4223,0.3786,0.3704,2.4373,74.9118,1.9543,0.4734,-0.0001,0
1.0256,0.1984,0.369,0.1627,0.1585,4.4201,113.0194,2.3505,0.6682,0.026,1
1.0165,0.2829,0.3455,0.1847,0.1511,4.4243,113.0999,2.3469,0.89,0.0351,1
1.1837,0.1685,0.236,0.3666,0.3539,3.6771,99.3768,2.2184,0.8522,0.015,1
1.0509,0.1107,0.332,0.1959,0.1936,4.4447,113.5177,2.3539,0.8397,0.0045,0
0.9681,0.232,0.3654,0.1294,0.1277,4.8987,121.3396,2.426,0.8524,0.0204,1
1.0203,0.0221,0.3044,0.2087,0.2079,4.6529,116.7187,2.3859,0.9138,-0.0,0
0.9297,0.4862,0.3543,0.1555,0.1463,4.7026,118.1626,2.3949,0.6473,0.1017,1
1.0351,0.1569,0.3367,0.1925,0.1878,4.4515,113.514,2.3539,0.8804,0.0221,1
1.1605,0.0538,0.3172,0.2699,0.2642,3.8041,102.1624,2.2451,0.8669,-0.0004,1
1.23,0.0941,0.3775,0.2406,0.2394,3.5381,96.9998,2.1944,0.7249,0.0002,0
1.1605,0.13,0.2993,0.2809,0.2706,3.8884,103.3608,2.2603,0.8676,0.0052,1
0.9905,0.4593,0.3626,0.1725,0.1653,4.3843,112.3283,2.3447,0.7936,0.0757,1
1.1601,0.0552,0.3169,0.2696,0.2644,3.8086,102.0202,2.2437,0.8674,-0.0,1
1.208,0.1369,0.294,0.3218,0.3143,3.577,97.7922,2.1991,0.8924,0.01,1
1.1581,0.1178,0.2992,0.2802,0.2697,3.8954,103.3763,2.2597,0.8685,0.0048,1
1.0321,0.2412,0.3461,0.1823,0.1794,4.4408,113.3999,2.3515,0.6738,0.0312,1
0.9272,0.0884,0.2892,0.173,0.1693,5.3683,129.3096,2.4987,0.887,0.0036,1
1.1018,0.1728,0.2781,0.295,0.2756,3.9677,104.9052,2.2724,0.789,0.0387,1
1.0209,0.0325,0.3043,0.2098,0.206,4.6411,116.9103,2.3865,0.9146,-0.0004,0
1.053,0.0963,0.2999,0.2335,0.2303,4.382,112.4765,2.3444,0.8992,0.0138,1
1.6972,0.5828,0.3571,0.496,0.4752,2.2203,70.2504,1.8998,0.8294,-0.0004,1
1.1612,0.1727,0.2906,0.2936,0.2858,3.8398,102.3418,2.2496,0.8875,0.0139,1
1.2072,0.213,0.2647,0.3381,0.3307,3.6849,99.2926,2.2195,0.8744,0.0055,1
1.2033,0.0466,0.2941,0.3034,0.2972,3.7352,100.6579,2.2287,0.8939,0.005,1
1.169,0.0544,0.3485,0.2328,0.2261,3.8713,102.9122,2.2504,0.8044,0.0002,0
1.2543,0.1618,0.2886,0.3446,0.336,3.4468,95.0361,2.175,0.8716,0.0109,1
1.9136,0.2174,0.4127,0.5418,0.5184,1.8884,62.8223,1.8054,0.8207,0.0082,1
0.9867,0.4456,0.2886,0.2578,0.2558,4.2221,109.5568,2.3157,0.7228,0.1048,1
1.149,0.0474,0.2988,0.2728,0.2628,3.9808,104.9574,2.274,0.8857,0.0,1
1.1981,0.0436,0.2941,0.3029,0.2971,3.7333,100.6471,2.2262,0.8941,0.0047,1
1.077,0.0657,0.3406,0.1976,0.1961,4.3378,111.4028,2.3355,0.8606,0.0045,0
1.122,0.0971,0.2476,0.3033,0.298,4.1762,108.2947,2.3041,0.8908,0.0053,1
1.0724,0.0802,0.261,0.2743,0.2688,4.3607,111.7611,2.3421,0.8612,0.0021,1
1.2393,0.143,0.3528,0.2763,0.269,3.4753,95.6336,2.1795,0.7776,0.0052,1
0.9866,0.161,0.3093,0.1936,0.186,4.8193,119.984,2.4126,0.8067,0.0164,1
1.1942,0.0949,0.3611,0.2417,0.2369,3.6868,99.5146,2.2196,0.8385,0.015,0
1.0413,0.1611,0.3314,0.1989,0.1986,4.4215,112.6529,2.3486,0.7898,0.018,0
1.0517,0.0349,0.3021,0.2245,0.2218,4.4839,114.011,2.3578,0.8684,-0.0,0
0.9969,0.1607,0.3339,0.1751,0.168,4.6983,117.8712,2.394,0.8335,0.017,1
1.157,0.1009,0.3577,0.224,0.2189,3.8565,102.7667,2.2514,0.7822,0.0044,0
1.1618,0.0578,0.3176,0.2699,0.2651,3.8081,101.947,2.2458,0.8694,-0.0001,1
1.0338,0.0714,0.3259,0.192,0.1892,4.61,115.9596,2.3754,0.8182,0.0003,0
0.9804,0.0711,0.3086,0.1842,0.18,4.9358,121.8464,2.4279,0.8927,-0.0003,1
1.0743,0.0644,0.3399,0.199,0.1959,4.332,111.3208,2.3347,0.861,0.0042,0
1.1066,0.105,0.3209,0.2352,0.2342,4.1116,107.4214,2.297,0.9093,0.0142,1
1.0331,0.151,0.3372,0.193,0.1881,4.4299,113.1585,2.3523,0.8801,0.0219,1
1.0078,0.0439,0.2937,0.2113,0.2101,4.7632,118.626,2.4041,0.8669,0.0,0
