stride_interval,stride_variability,swing_time,stance_time,double_support_time,gait_speed,cadence,step_length,stride_regularity,gait_asymmetry,status
1.1462,0.0463,0.2983,0.2714,0.2631,3.983,104.8877,2.2751,0.886,-0.0,1
0.9627,0.2251,0.3664,0.128,0.1267,4.913,121.1127,2.4267,0.8533,0.0206,1
0.9844,0.0778,0.3086,0.1836,0.1793,4.9401,121.6174,2.4301,0.8922,-0.0001,1
1.1584,0.0738,0.2943,0.2824,0.2788,3.9237,104.1524,2.2636,0.9139,-0.0005,1
0.9682,0.2063,0.3267,0.1702,0.1667,4.8738,120.6945,2.4223,0.8399,0.0245,1
1.0642,0.0538,0.3304,0.2015,0.1983,4.4214,112.7765,2.3514,0.8624,0.0005,0
1.0549,0.0454,0.3607,0.1662,0.1645,4.4877,113.8378,2.358,0.781,-0.0001,0
1.1008,0.1343,0.3296,0.222,0.2192,4.2102,108.8625,2.3115,0.7517,0.0093,0
1.1194,0.1042,0.3529,0.2105,0.2084,4.0632,106.2952,2.2882,0.7975,0.0056,0
1.0862,0.1293,0.3612,0.1923,0.153,4.1708,108.4235,2.3091,0.8501,0.0142,1
1.0414,0.1667,0.3323,0.1991,0.1983,4.4094,112.8575,2.3498,0.7885,0.0176,0
1.0869,0.1286,0.3619,0.1924,0.1533,4.166,108.2212,2.3052,0.8516,0.0138,1
1.035,0.0992,0.3095,0.2135,0.2127,4.503,114.5553,2.3639,0.8779,0.0134,0
0.9875,0.4527,0.3626,0.1712,0.1666,4.393,112.4117,2.3453,0.7962,0.0758,1
1.0304,0.0905,0.2953,0.2276,0.2234,4.5434,115.0677,2.3672,0.9246,0.0178,1
1.2553,0.0471,0.3112,0.3136,0.3085,3.4918,96.064,2.1845,0.906,0.0002,1
1.021,0.1147,0.3469,0.167,0.1634,4.65,116.8599,2.3889,0.835,0.0088,1
1.0082,0.0469,0.2926,0.2105,0.21,4.7597,118.5533,2.4029,0.8666,-0.0,0
1.1823,0.1804,0.2373,0.3656,0.3543,3.6805,99.4153,2.2182,0.8528,0.015,1
1.0332,0.0991,0.3092,0.214,0.2125,4.5093,114.4234,2.3655,0.8802,0.0134,0
1.0174,0.1679,0.2722,0.2392,0.2256,4.6696,117.3871,2.3892,0.8125,0.0045,1
1.0349,0.0871,0.3084,0.2146,0.2119,4.5062,114.3938,2.364,0.8797,0.0133,0
1.0315,0.247,0.3473,0.1826,0.1801,4.431,113.3387,2.353,0.6737,0.0313,1
1.1181,0.1009,0.2478,0.3041,0.2971,4.166,108.2262,2.3074,0.8914,0.0053,1
0.9876,0.169,0.3093,0.1903,0.1843,4.8176,119.6735,2.4123,0.8064,0.0165,1
1.2379,0.1429,0.3525,0.275,0.2684,3.4702,95.3306,2.1796,0.7789,0.0055,1
1.2081,0.1934,0.2644,0.3374,0.3303,3.6892,99.7027,2.2177,0.8743,0.005,1
0.9725,0.1927,0.3266,0.1696,0.1653,4.8724,120.8227,2.4221,0.8405,0.0247,1
0.9934,0.1324,0.2742,0.229,0.2269,4.7941,119.4716,2.4073,0.8595,0.0125,0
1.0658,0.1494,0.3203,0.2173,0.2144,4.3671,111.9188,2.3404,0.8702,0.0089,0
1.1064,0.1006,0.3205,0.2358,0.2342,4.1135,107.6492,2.2978,0.9092,0.014,1
1.0302,0.2095,0.3693,0.1614,0.1597,4.4215,112.7904,2.3486,0.6688,0.0256,1
0.9816,0.2023,0.3634,0.1349,0.13,4.847,120.2839,2.4166,0.7938,0.0125,1
1.1059,0.2331,0.3553,0.1925,0.1859,4.2194,109.4175,2.315,0.8222,0.0043,0
1.236,0.0409,0.3436,0.2766,0.274,3.5318,96.4912,2.1889,0.8693,0.0047,0
1.0924,0.1483,0.3596,0.1923,0.1535,4.1663,108.3715,2.3076,0.8502,0.0136,1
1.1195,0.082,0.2813,0.2856,0.2811,4.0299,105.8986,2.2834,0.8115,0.0096,1
1.0997,0.1081,0.3235,0.2372,0.2334,4.0912,106.8011,2.2942,0.9213,0.0093,0
0.8986,0.0743,0.2136,0.2342,0.2317,5.6433,133.633,2.5357,0.8132,0.0005,1
1.0637,0.1661,0.3191,0.2166,0.2143,4.3604,111.9925,2.3414,0.8726,0.0088,0
0.9915,0.1302,0.2736,0.2284,0.2258,4.7758,119.3109,2.4101,0.8611,0.0124,0
1.1447,0.0565,0.2981,0.2732,0.2628,3.9888,104.7391,2.2743,0.8865,-0.0,1
0.9966,0.2177,0.3768,0.1319,0.1282,4.7244,118.1522,2.401,0.6983,0.013,1
2.0304,6.7816,0.6589,0.3456,0.3399,1.7542,59.8393,1.7639,0.5165,0.0092,0
1.1191,0.0993,0.3523,0.212,0.2102,4.0642,106.395,2.2871,0.7969,0.0051,0
0.8996,0.0823,0.2138,0.2363,0.2309,5.65,133.9383,2.5345,0.8137,-0.0003,1
0.9209,0.3643,0.2768,0.2224,0.2108,4.8463,120.1599,2.4191,0.8132,0.0834,1
1.0979,0.1118,0.2704,0.2843,0.2785,4.138,107.975,2.3009,0.856,0.0005,1
1.105,0.1456,0.3487,0.2102,0.2094,4.1122,107.5125,2.2979,0.7954,0.0049,0
0.9814,0.7089,0.3041,0.2959,0.278,3.7076,99.8713,2.2245,0.2359,0.2091,1
1.2569,0.1526,0.2883,0.3421,0.3374,3.4514,95.0922,2.1755,0.8691,0.0098,1
1.1572,0.0486,0.2943,0.2829,0.2787,3.9144,104.0199,2.2634,0.9145,-0.0001,1
1.0338,0.2357,0.3239,0.1875,0.1847,4.6717,117.417,2.3896,0.8714,0.0119,0
0.9921,0.1175,0.2909,0.2048,0.2013,4.9016,121.2986,2.4247,0.8743,0.0047,0
0.9813,0.057,0.3094,0.1841,0.1798,4.9368,121.7176,2.4306,0.8907,0.0003,1
1.1939,0.1107,0.361,0.2417,0.2348,3.6859,99.4015,2.2186,0.8385,0.0151,0
0.9951,0.2185,0.3757,0.131,0.1287,4.7304,118.1953,2.399,0.7,0.0123,1
0.9895,0.0731,0.2893,0.2078,0.2034,4.8761,120.6487,2.4202,0.7948,-0.0003,1
1.2333,0.0469,0.3436,0.278,0.273,3.5228,96.5494,2.1922,0.8689,0.005,0
1.0812,0.0744,0.3594,0.1801,0.1783,4.304,110.8578,2.3284,0.7733,-0.0004,1
1.1119,0.1704,0.3527,0.1967,0.1825,4.1906,108.946,2.3095,0.8635,0.0001,1
0.9649,0.2279,0.3651,0.1288,0.1266,4.9031,121.2855,2.4249,0.8502,0.0205,1
1.9148,0.2279,0.414,0.5418,0.5183,1.8967,63.0944,1.8074,0.8218,0.0081,1
1.0396,0.2106,0.3416,0.1879,0.1788,4.4456,113.0755,2.3556,0.7631,0.0221,1
1.5232,0.1256,0.3757,0.3924,0.3827,2.5977,78.4059,1.9899,0.7405,0.0004,1
1.0388,0.1006,0.371,0.1531,0.1448,4.5426,114.7897,2.3666,0.7731,-0.0002,0
1.4459,0.3171,0.3256,0.4121,0.4003,2.7427,81.1595,2.0251,0.7131,0.025,1
1.1573,0.085,0.3583,0.2259,0.2192,3.8502,102.6711,2.2513,0.7803,0.0053,0
0.9939,0.1641,0.3189,0.1891,0.1854,4.6999,117.7814,2.3948,0.7402,0.0258,1
1.148,0.0484,0.2993,0.2724,0.2638,3.9723,105.0569,2.2731,0.8881,0.0004,1
1.0985,0.1838,0.2779,0.2949,0.2768,3.9736,104.9006,2.2715,0.7888,0.0385,1
1.068,0.1475,0.3197,0.2175,0.2131,4.3764,111.8362,2.3396,0.872,0.0091,0
0.9947,0.1399,0.2751,0.2291,0.227,4.7949,119.0866,2.4115,0.8595,0.0129,0
1.0193,0.1899,0.2655,0.2459,0.2406,4.6847,117.3923,2.3912,0.8594,0.0042,1
0.9971,0.1724,0.3188,0.1902,0.1866,4.6871,117.9066,2.3941,0.74,0.0255,1
1.0373,0.106,0.3091,0.2161,0.2132,4.5028,114.2775,2.3618,0.8798,0.013,0
1.0473,0.1075,0.3319,0.1972,0.1937,4.438,113.3699,2.3532,0.8401,0.0047,0
1.1001,0.1206,0.3242,0.2373,0.2345,4.0885,106.9835,2.2931,0.9201,0.0091,0
1.1587,0.1765,0.2908,0.2938,0.2861,3.8333,102.4378,2.247,0.8876,0.0144,1
1.5198,0.1186,0.3763,0.3911,0.3816,2.5908,78.126,1.9907,0.7408,0.0001,1
1.1603,0.0456,0.3195,0.2696,0.2652,3.8366,102.0423,2.2421,0.8684,-0.0002,1
1.5243,0.115,0.3761,0.3919,0.3823,2.6029,78.2797,1.9908,0.7414,0.0004,1
0.9795,0.1579,0.2869,0.2041,0.2001,4.9541,122.2758,2.4352,0.8853,0.0042,1
1.1024,0.1219,0.324,0.2375,0.2336,4.0978,106.9214,2.2922,0.9193,0.0092,0
1.1068,0.1584,0.3479,0.211,0.2087,4.1118,107.4777,2.2965,0.796,0.0047,0
1.0754,0.0599,0.3406,0.1977,0.1965,4.3312,111.2587,2.3361,0.8599,0.0043,0
1.1,0.1147,0.2706,0.2854,0.2785,4.1456,107.9982,2.3019,0.8554,-0.0002,1
1.0363,0.2293,0.324,0.187,0.1845,4.6663,117.3591,2.3895,0.8731,0.0123,0
1.0971,0.1401,0.3296,0.2213,0.2187,4.1997,108.8966,2.3103,0.7524,0.0089,0
1.4488,0.3064,0.3265,0.4127,0.4014,2.7328,81.1084,2.0256,0.7135,0.0252,1
0.904,0.0685,0.2144,0.2343,0.2322,5.6305,133.5315,2.535,0.8127,0.0002,1
1.0637,0.0483,0.33,0.2007,0.1976,4.4181,112.8936,2.3484,0.8645,-0.0001,0
0.9948,0.1667,0.3196,0.191,0.1855,4.7063,117.8852,2.3939,0.7414,0.0259,1
1.0363,0.0551,0.3433,0.1739,0.1736,4.5815,115.776,2.3792,0.84,-0.0002,1
0.9885,0.0791,0.2894,0.2079,0.2029,4.8791,120.7515,2.4235,0.7956,0.0003,1
1.2129,0.127,0.2936,0.3218,0.3133,3.5768,97.5041,2.1989,0.8927,0.0103,1
0.9817,0.1966,0.3635,0.1352,0.1307,4.8487,120.0757,2.4161,0.7934,0.0121,1
1.1165,0.0238,0.3083,0.2474,0.2436,4.1323,107.9081,2.3006,0.9056,-0.0007,1
1.1068,0.118,0.319,0.2361,0.2329,4.1651,108.2926,2.3081,0.8809,0.0052,0
1.0615,0.0642,0.3304,0.202,0.1995,4.4119,112.8188,2.3474,0.8618,0.0002,0
1.1567,0.1788,0.2906,0.2948,0.2857,3.8447,102.5628,2.2506,0.8869,0.0138,1
1.0241,0.0305,0.3041,0.209,0.2062,4.6363,116.9269,2.3847,0.9138,-0.0001,0
1.1135,0.0242,0.3079,0.2481,0.2446,4.145,108.0172,2.3026,0.9045,-0.0002,1
1.074,0.0593,0.3397,0.197,0.1959,4.333,111.3865,2.3338,0.8609,0.0043,0
1.0177,0.2911,0.3463,0.1843,0.1513,4.4104,112.8668,2.3478,0.89,0.035,1
1.2098,0.1361,0.2942,0.3209,0.3139,3.5762,97.73,2.1973,0.8918,0.011,1
0.8974,0.0666,0.2124,0.2352,0.2325,5.6403,133.6144,2.5356,0.8123,-0.0003,1
1.0544,0.09,0.3005,0.2323,0.231,4.3897,112.4555,2.3444,0.9,0.013,1
0.9709,0.2029,0.328,0.1687,0.1676,4.8853,120.898,2.4203,0.8386,0.0251,1
1.0776,0.1214,0.3801,0.1561,0.1503,4.3663,111.7485,2.3393,0.7189,0.0089,0
1.0372,0.1581,0.3359,0.1913,0.189,4.4364,113.3341,2.3538,0.8821,0.0219,1
1.0071,0.1366,0.2884,0.2187,0.2153,4.7258,118.3419,2.3997,0.8494,0.0044,1
1.2075,0.1293,0.3652,0.2436,0.2373,3.6361,98.604,2.2079,0.8283,0.0044,0
1.1819,0.1755,0.2369,0.3661,0.3522,3.6781,99.5563,2.2198,0.8527,0.015,1
1.1,0.1156,0.323,0.2361,0.2338,4.0959,106.905,2.2926,0.9191,0.0089,0
1.0209,0.1026,0.3462,0.167,0.1644,4.6404,116.6071,2.3844,0.8329,0.0084,1
0.9742,0.1544,0.2868,0.2046,0.1999,4.968,122.2654,2.4355,0.8842,0.0034,1
1.0247,0.032,0.3049,0.2085,0.2075,4.6423,116.895,2.3863,0.9158,-0.0,0
1.1572,0.1357,0.2998,0.2806,0.2717,3.8972,103.3079,2.2583,0.8668,0.0047,1
1.522,0.1126,0.3756,0.3919,0.3821,2.5948,78.3208,1.992,0.741,0.0002,1
1.1591,0.0965,0.3584,0.2254,0.2213,3.853,102.8126,2.2521,0.7804,0.0049,0
0.9708,0.2008,0.3267,0.1688,0.1668,4.8841,120.8727,2.4182,0.8413,0.0246,1
1.1722,0.0789,0.3557,0.2326,0.2313,3.8141,102.127,2.2451,0.845,-0.0002,0
1.0359,0.2215,0.3247,0.1863,0.1839,4.6874,117.2145,2.3915,0.8741,0.0126,0
0.9254,0.086,0.2899,0.1735,0.1702,5.3773,129.0297,2.4972,0.8882,0.0037,1
1.0813,0.0596,0.3597,0.1821,0.1784,4.3063,110.8486,2.3317,0.7715,-0.0004,1
0.9903,0.4638,0.3624,0.1724,0.166,4.3889,112.3644,2.3445,0.7943,0.0756,1
1.1188,0.0914,0.3528,0.2105,0.2098,4.0457,106.3958,2.2869,0.7965,0.0052,0
0.9875,0.0514,0.2872,0.2114,0.2081,4.8374,120.202,2.4177,0.8556,0.0034,1
1.2801,0.1635,0.3005,0.341,0.3311,3.3405,93.0686,2.1543,0.821,0.0105,1
1.1102,0.172,0.3528,0.1983,0.1822,4.1899,108.8508,2.3127,0.8626,-0.0001,1
1.1117,0.1843,0.3533,0.1986,0.1834,4.1917,108.9233,2.3096,0.8625,-0.0001,1
1.1586,0.1239,0.2999,0.2802,0.2682,3.89,103.2802,2.2589,0.8682,0.0049,1
1.0338,0.1596,0.3368,0.1913,0.189,4.4525,113.4966,2.3526,0.8818,0.0219,1
1.0183,0.115,0.3453,0.1668,0.1643,4.6426,117.0651,2.384,0.8331,0.0083,1
1.1,0.1225,0.2719,0.2843,0.2774,4.1327,108.0962,2.3033,0.8558,-0.0004,1
1.2162,0.1821,0.3734,0.2404,0.2394,3.5735,97.7226,2.2001,0.6682,0.0153,0
0.922,0.3589,0.2769,0.2224,0.2093,4.8538,120.2513,2.417,0.8141,0.0835,1
1.0738,0.129,0.3782,0.1566,0.1512,4.3669,111.7249,2.3379,0.7172,0.0089,0
1.0204,0.0291,0.3048,0.2087,0.2069,4.6469,116.7723,2.383,0.9143,-0.0002,0
1.0429,0.1061,0.3707,0.1521,0.1449,4.5333,114.8533,2.3688,0.7738,-0.0,0
0.9974,0.2128,0.3753,0.133,0.1278,4.7308,118.3708,2.3994,0.6989,0.0126,1
1.0,0.7103,0.3743,0.1695,0.1592,4.2766,110.3471,2.3234,0.7029,0.0768,1
1.0476,0.1874,0.378,0.1412,0.1408,4.5541,115.4277,2.3731,0.6939,0.004,1
1.4494,0.3044,0.3262,0.4131,0.4009,2.7437,81.0758,2.0238,0.7131,0.0246,1
1.0351,0.1085,0.3244,0.2001,0.1988,4.5035,114.4928,2.3628,0.8655,0.0041,0
1.0901,0.1315,0.3616,0.1921,0.1554,4.1826,108.4607,2.3073,0.8515,0.0136,1
0.9691,0.212,0.3276,0.1691,0.1666,4.8592,120.7778,2.4206,0.8415,0.0251,1
1.4875,1.0038,0.4222,0.3794,0.3709,2.4535,74.7111,1.9527,0.4746,0.0003,0
1.1042,0.1112,0.3188,0.2343,0.2317,4.1612,108.3789,2.305,0.8808,0.0045,0
1.0436,0.0967,0.3712,0.1515,0.1459,4.5278,114.8601,2.3681,0.7739,0.0002,0
0.9951,0.1668,0.3339,0.1756,0.1684,4.7129,117.6844,2.3926,0.8327,0.0166,1
1.0348,0.0602,0.3257,0.1916,0.1886,4.5996,115.7574,2.3746,0.8181,0.0003,0
1.0216,0.2833,0.3467,0.1861,0.151,4.4138,112.9751,2.3495,0.8883,0.0351,1
1.1054,0.1539,0.3478,0.2093,0.2079,4.1098,107.3489,2.2972,0.7963,0.0053,0
2.0294,6.7866,0.6586,0.3439,0.3397,1.7459,59.7525,1.763,0.5154,0.0095,0
